title;url;nick;location
[S/W]HoN, Warfighter, T/A Leader, CoH, DotZ;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=37420;Patyk;Wrocław
[s]Kontor, Sherwood Forest, Cardcassonne, Fjords i inne-W-wa;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=36180;jask44;Warszawa
[S] Mage Wars + dodatki, Warhammer Quest Adventure Card Game;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=46123;JB;Rzeszów
[S] Statki łupy kościotrupy, Talisman + Żniwiarz;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=46369;gandalfr;Ruda Śląska
[S] Magia i Myszy PL (pomalowane) zestaw "na bogato";http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=29302;CydPL;Wrocław
[S/W]Kolejka Tokaido Mistfall Amber MareBalticum Teomachia;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=42859;tasil;Poznań i okolice
[S/W]Wyprzedaż rarytasów i porządnych gier, odbiór na GRAMY!;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=23539;KubaP;Warszawa
[S] Roll ftG, Pandemic, Impulse...;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=23910;dumspirospero;Lublin
[S/W] Talizman, Pandemic, Arle, LCN itd;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=43871;marti;Gdańsk
[S] Martwa Zima: Długa Noc, CoH i inne;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=41431;kaimada;Łódź
Nic Dubel;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=46365;PiotrWro;Wrocław
Ghost Stories Unikat Niegrana.;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=46366;PiotrWro;Wrocław
[S] W roku smoka, Akry, Quarriors, Liberte, Ucieczka i inne;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=24804;uyco;Poznań
[S] Mistfall+Valskyrr;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=41543;bandyta;Wrocław/Siechnice
[S] Carson C. Big Box, T.I.M.E. ENG nowe, Wyscig do Renu;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=46295;hamanu;Poznań
[S] Promocja GRAMY: Duuuszki, Wulkany, Mount Everest [GDA];http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=39209;aigimig;Warszawa
[S] Władca pierścieni LCG z dodatkami;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=29711;berger;Lublin
[S] Summoner Wars, Neuroshima, RFTG, Kingdom Builder i inne;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=35712;vincentblack;Kraków
S Wrocław 19 dobrych gier;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=23806;serwat;Wrocław
[S/W] Komiks, Cottage Garden, LOTR Confrontation  [3CITY];http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=46200;alicja.wilk;Gdynia
[S]Caylus MC,Mexica,Papa Paolo Futschikato,Ptaszki +inne;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=24296;piton;Opole
[S] Cyklady, Wampir (Sfera), Ninjato;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=29976;Paskudnik;Warszawa (Mokotów)
[S] Osadnicy z Catanu - Gra karciana;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=46307;chrris;Wrocław
[S/W] kilka gier - odibór gier na Gramy;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=46355;hancza123;Gdańsk
[S] Dungeoneer - Smoki zapomnianych pustkowi;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=23740;jax;Warszawa
[S]WoG-maty,Manoeuvre,Szogun,ASL SK,Falling Sky...;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=23724;ananas;Ostrów Wielkopolski
[S] Rio de la Plata;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=46351;Przygod;Gdynia
